sheet,cell,text,url,subaddress
Sheet1,A137,42-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/81?data-title=42-A+transcription&data-verticalTitle=42-A+transcription&data-type=book&data-id=book_transcription_81&data-boxTitle=42-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F81&data-maxWidth=300,
Sheet1,A139,43-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/116?data-title=43-A+transcription&data-verticalTitle=43-A+transcription&data-type=book&data-id=book_transcription_116&data-boxTitle=43-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F116&data-maxWidth=300,
Sheet1,A141,44-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/65?data-title=44-A+transcription&data-verticalTitle=44-A+transcription&data-type=book&data-id=book_transcription_65&data-boxTitle=44-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F65&data-maxWidth=300,
Sheet1,A143,44-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/66?data-title=44-B+transcription&data-verticalTitle=44-B+transcription&data-type=book&data-id=book_transcription_66&data-boxTitle=44-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F66&data-maxWidth=300,
Sheet1,A145,45-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/63?data-title=45-A+transcription&data-verticalTitle=45-A+transcription&data-type=book&data-id=book_transcription_63&data-boxTitle=45-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F63&data-maxWidth=300,
Sheet1,A147,47-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/124?data-title=47-A+transcription&data-verticalTitle=47-A+transcription&data-type=book&data-id=book_transcription_124&data-boxTitle=47-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F124&data-maxWidth=300,
Sheet1,A149,47-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/125?data-title=47-B+transcription&data-verticalTitle=47-B+transcription&data-type=book&data-id=book_transcription_125&data-boxTitle=47-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F125&data-maxWidth=300,
Sheet1,A151,46-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/30?data-title=46-A+transcription&data-verticalTitle=46-A+transcription&data-type=book&data-id=book_transcription_30&data-boxTitle=46-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F30&data-maxWidth=300,
Sheet1,A153,48-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/99?data-title=48-A+transcription&data-verticalTitle=48-A+transcription&data-type=book&data-id=book_transcription_99&data-boxTitle=48-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F99&data-maxWidth=300,
Sheet1,A155,49-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/117?data-title=49-A+transcription&data-verticalTitle=49-A+transcription&data-type=book&data-id=book_transcription_117&data-boxTitle=49-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F117&data-maxWidth=300,
