sheet,cell,text,url,subaddress
Sheet1,A88,V-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/197?data-title=V-C+transcription&data-verticalTitle=V-C+transcription&data-type=book&data-id=book_transcription_197&data-boxTitle=V-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F197&data-maxWidth=300,
Sheet1,A90,V-D transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/199?data-title=V-D+transcription&data-verticalTitle=V-D+transcription&data-type=book&data-id=book_transcription_199&data-boxTitle=V-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F199&data-maxWidth=300,
Sheet1,A92,V-E transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/200?data-title=V-E+transcription&data-verticalTitle=V-E+transcription&data-type=book&data-id=book_transcription_200&data-boxTitle=V-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F200&data-maxWidth=300,
Sheet1,A94,V-F transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/201?data-title=V-F+transcription&data-verticalTitle=V-F+transcription&data-type=book&data-id=book_transcription_201&data-boxTitle=V-F+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F201&data-maxWidth=300,
Sheet1,A96,V-G transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/202?data-title=V-G+transcription&data-verticalTitle=V-G+transcription&data-type=book&data-id=book_transcription_202&data-boxTitle=V-G+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F202&data-maxWidth=300,
Sheet1,A98,V-H transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/203?data-title=V-H+transcription&data-verticalTitle=V-H+transcription&data-type=book&data-id=book_transcription_203&data-boxTitle=V-H+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F203&data-maxWidth=300,
Sheet1,A100,V-I transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/204?data-title=V-I+transcription&data-verticalTitle=V-I+transcription&data-type=book&data-id=book_transcription_204&data-boxTitle=V-I+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F204&data-maxWidth=300,
Sheet1,A102,V-L transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/205?data-title=V-L+transcription&data-verticalTitle=V-L+transcription&data-type=book&data-id=book_transcription_205&data-boxTitle=V-L+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F205&data-maxWidth=300,
Sheet1,A104,V-M transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/206?data-title=V-M+transcription&data-verticalTitle=V-M+transcription&data-type=book&data-id=book_transcription_206&data-boxTitle=V-M+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F206&data-maxWidth=300,
Sheet1,A106,V-N transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/207?data-title=V-N+transcription&data-verticalTitle=V-N+transcription&data-type=book&data-id=book_transcription_207&data-boxTitle=V-N+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F207&data-maxWidth=300,
Sheet1,A108,VI-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/208?data-title=VI-A+transcription&data-verticalTitle=VI-A+transcription&data-type=book&data-id=book_transcription_208&data-boxTitle=VI-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F208&data-maxWidth=300,
Sheet1,A110,VI-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/210?data-title=VI-B+transcription&data-verticalTitle=VI-B+transcription&data-type=book&data-id=book_transcription_210&data-boxTitle=VI-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F210&data-maxWidth=300,
